Business Name,Industry/Category,General Location,Website,Social Media,Nonprofits Supported (Names),Nonprofit Links,Type of Contribution
"Shelby Baptist Medical Center (Brookwood Baptist Health)",Healthcare,"Alabaster (1000 First St N, Alabaster AL 35007)",https://www.brookwoodbaptisthealth.com,https://www.linkedin.com/company/brookwood-baptist-health,"United Way of Shelby County; American Heart Association; American Cancer Society; local schools; Alabaster community health programs; Shelby County nonprofits","https://www.brookwoodbaptisthealth.com/about","Community health fairs and free screenings; Health education programs in schools and churches; Employee volunteer hours; United Way campaigns; Sponsorship of community wellness events; Support for local nonprofits serving Alabaster and Shelby County residents"
"KIA Motors Manufacturing Georgia",Automotive Manufacturing,"Opelika (7777 KIA Pkwy, West Point GA 31833 - major Opelika employer)",https://www.kiageorgia.com,https://www.linkedin.com/company/kia-motors-manufacturing-georgia,"United Way of Lee County; Opelika City Schools; Lee County Humane Society; East Alabama Food Bank; Auburn-Opelika community organizations","https://www.kiageorgia.com/community","Kia Community Foundation grants; Employee volunteer programs; STEM education partnerships with local schools; United Way campaigns; Community event sponsorships; Workforce development and training programs; Support for Lee County nonprofits; Major employer of Opelika residents"
"Lockheed Martin (Fort Novosel support)",Defense/Aerospace,"Enterprise (Fort Novosel area, Coffee County)",https://www.lockheedmartin.com,https://www.linkedin.com/company/lockheed-martin,"United Way of Southeast Alabama; Enterprise City Schools; Army Aviation Museum Foundation; local veterans organizations; Coffee County community programs","https://www.lockheedmartin.com/en-us/who-we-are/communities.html","Lockheed Martin Foundation STEM grants; Employee volunteer programs and matching gifts; United Way corporate campaigns; Veterans and military family support; Education partnerships and scholarships; Community event sponsorships in the Wiregrass region"
"Church of the Highlands",Church/Major Employer,"Homewood (Grants Mill campus serves Homewood area)",https://www.churchofthehighlands.com,https://www.instagram.com/churchofthehighlands,"Serve Day partner organizations (100+); Dream Centers; local food pantries; foster care organizations; homeless shelters; prison ministry programs; Birmingham City Schools","https://www.churchofthehighlands.com/serve","Annual Serve Day mobilizing 60,000+ volunteers across 100+ nonprofit partner sites; Dream Center community hubs providing food, job training, and family services; Monthly community food distributions; Foster care and adoption support; Small business grants; Disaster relief responses; In-kind donations and volunteer labor"
"Mercedes-Benz U.S. International (MBUSI)",Automotive Manufacturing,"Northport/Tuscaloosa County (1 Mercedes Dr, Vance AL 35490)",https://mbusi.com,https://www.linkedin.com/company/mercedes-benz-u-s-international,"Community Foundation of West Alabama; United Way of West Alabama; Habitat for Humanity; American Cancer Society; YMCA of Tuscaloosa; local schools in Northport and Tuscaloosa County","https://mbusi.com/about/corporate-info/philanthropy","$12M+ in community donations since 1993; Employee volunteer hours including annual 6-week Habitat builds; Adopt-A-School partnerships; STEM education programs (Mechatronics, TECH, Youth Apprenticeship); $100,000 COVID-19 relief via CFWA; $700,000+ in donated vehicles (15 SUVs) to schools and colleges; Earthfest lead sponsorship"
"GE Aerospace (Anniston Army Depot operations)",Aerospace/Defense,"Anniston (Calhoun County)",https://www.geaerospace.com,https://www.linkedin.com/company/ge-aerospace,"United Way of East Central Alabama; Calhoun County schools; Boys & Girls Clubs; Anniston community organizations; local veterans programs","https://www.geaerospace.com/our-company/corporate-citizenship","GE Foundation grants to education and workforce programs; Employee matching gift programs; United Way corporate campaigns; STEM education partnerships; Community volunteer events; Support for veterans organizations and military family programs in Calhoun County"
"International Paper - Mobile operations",Paper/Packaging Manufacturing,"Prichard/Mobile County",https://www.internationalpaper.com,https://www.linkedin.com/company/international-paper,"United Way of Southwest Alabama; Mobile County schools; Habitat for Humanity; local environmental education programs; community organizations in the Mobile area","https://www.internationalpaper.com/planet/communities","IP Foundation grants; Employee volunteer hours and matching gifts; United Way campaigns; Environmental education support; Community event sponsorships; In-kind donations to schools and nonprofits"
"Troy University",Higher Education,"Troy (University Ave, Troy AL 36082)",https://www.troy.edu,https://www.linkedin.com/company/troy-university,"Troy Arts Council; Pike County schools; Dothan Area Chamber of Commerce (tuition scholarships); local food banks; community development organizations","https://www.troy.edu/about/community.html","Tuition scholarships via Chamber of Commerce partnerships; Community outreach and service-learning programs; Faculty and student volunteer hours; Facility usage for community events; Economic development support; Health clinics and counseling services; Arts and cultural programming"
"Bush Hog (Alamo Group)",Agricultural Equipment Manufacturing,"Selma (2501 Griffin Ave, Selma AL 36703)",https://www.bushhog.com,https://www.linkedin.com/company/bush-hog,"Edmundite Missions; United Way of Dallas County; Selma City Schools; local community organizations; Dallas County nonprofits","https://www.bushhog.com","Community event sponsorships; Employee volunteer programs; Support for Selma area schools and youth programs; Donations to food banks and community assistance organizations; Workforce development programs; In-kind equipment donations for community projects"
"Heart of Dixie Harley-Davidson",Retail/Motorsports,"Pelham (5094 Hwy 31 S, Pelham AL 35124)",https://www.heartofdixieharley.com,https://www.facebook.com/heartofdixieharley,"Breast Cancer Research Foundation of Alabama (Revvin' 4 Research); local veterans organizations; children's charities; Shelby County community organizations","https://www.bcrfa.org/community-partners-across-alabama-fund-breast-cancer-research-october/","17th Annual Revvin' 4 Research Charity Motorcycle Ride raising funds for BCRFA; Community charity ride events; Veterans support and fundraising; Sponsorships of local charity events; In-kind venue hosting for nonprofit fundraisers"
"Honda Manufacturing of Alabama",Automotive Manufacturing,"Oxford area (1800 Honda Dr, Lincoln AL 35096 - Talladega/Calhoun County)",https://www.hondaalabama.com,https://www.linkedin.com/company/honda,"United Way of East Central Alabama; local schools (Adopt-A-School); environmental conservation programs; Calhoun County nonprofits; STEM education programs","https://www.honda.com/community","Honda Foundation education grants; Employee volunteer programs; Environmental stewardship (wildlife habitat at plant site); United Way corporate campaigns; STEM education partnerships; Community event sponsorships; In-kind donations; Workforce development"
"Wayne Farms (Sanderson Farms)",Food Processing/Poultry,"Albertville (Marshall County)",https://www.waynefarms.com,https://www.linkedin.com/company/wayne-farms,"United Way of Marshall County; Albertville City Schools; local food banks; Marshall County community organizations; workforce development programs","https://www.waynefarms.com","Community event sponsorships; Employee volunteer programs; United Way campaigns; Food donations to area food banks; Support for local schools and youth programs; Workforce training and development; Scholarship programs"
"ServisFirst Bank",Banking/Financial Services,"Trussville (131 Brooke Dr, Trussville AL 35173)",https://www.servisfirstbank.com,https://www.linkedin.com/company/servisfirst-bancshares-inc.,"United Way of Central Alabama; Trussville area schools; local community organizations; education and youth programs","https://www.servisfirstbank.com","Community Reinvestment Act lending; Employee volunteer programs; Sponsorships of local community events; Financial literacy programs; Support for Trussville schools and education initiatives; Charitable donations to area nonprofits"
"U.S. Pipe and Foundry",Manufacturing/Infrastructure,"Bessemer (3300 1st Ave N, Bessemer AL 35020)",https://www.uspipe.com,https://www.linkedin.com/company/us-pipe,"United Way of Central Alabama; Bessemer City Schools; local community organizations; workforce development programs; Jefferson County nonprofits","https://www.uspipe.com","Employee volunteer programs; United Way campaigns; Community event sponsorships; Workforce development and training programs; Support for Bessemer area schools; Environmental stewardship initiatives; In-kind donations"
"Athens-Limestone Hospital",Healthcare,"Athens (700 W Market St, Athens AL 35611)",https://www.athenslimestonehospital.com,https://www.facebook.com/AthensLimestoneHospital,"United Way of Limestone County; Athens City Schools; Limestone County schools; local health and wellness nonprofits","https://www.athenslimestonehospital.com","Free community health screenings and education programs; Employee volunteer hours; United Way campaigns; Sponsorship of community wellness events; Health fairs in schools and churches; Support for area nonprofits serving Limestone County; Nursing education partnerships"
"Anchor Cross Cancer Foundation supporting businesses",Healthcare/Nonprofit Support,"Daphne (29653 Anchor Cross Blvd, Ste B-101, Daphne AL 36526)",https://www.anchorcrosscancer.org,https://www.facebook.com/AnchorCrossCancerFoundation,"Cancer patients and families in Baldwin County; local hospitals; Eastern Shore community organizations","https://business.eschamber.com/list/category/non-profit-2137","Direct financial assistance to cancer patients in Baldwin County; Partnership with Eastern Shore businesses for fundraising; Community awareness events; Patient transportation and lodging assistance; Support from Daphne-area business community"
"Fairhope Brewing Company",Craft Brewing/Hospitality,"Fairhope (914 Nichols Ave, Fairhope AL 36532)",https://www.fairhopebrewing.com,https://www.instagram.com/fairhopebrewing,"Impact 100 Baldwin County; Jennifer Claire Moore Foundation; Baldwin Animal Rescue Center; Fairhope Arts & Crafts Festival Foundation; local community nonprofits","https://www.fairhopebrewing.com","Venue hosting for nonprofit fundraiser events; Percentage-of-sales charity nights; Community event sponsorships; In-kind donations for charitable auctions; Support for local arts and cultural organizations; Partnership with Impact 100 Baldwin County philanthropic network"
"Cullman Electric Cooperative",Electric Utility,"Cullman (1749 Eva Rd NE, Cullman AL 35055)",https://www.cullmanec.com,https://www.facebook.com/CullmanEC,"Operation Round Up recipients; United Way of Cullman County; Cullman County schools; local volunteer fire departments; community organizations","https://www.cullmanec.com","Operation Round Up charitable program; Scholarships for local students; Donations to volunteer fire departments; Community event sponsorships; Support for schools and educational programs; Employee volunteer hours; Disaster relief assistance"
"Honda Manufacturing of Alabama",Automotive Manufacturing,"Talladega County (1800 Honda Dr, Lincoln AL 35096)",https://www.hondaalabama.com,https://www.linkedin.com/company/honda,"United Way of East Central Alabama; Talladega City Schools; International Motorsports Hall of Fame Foundation; Talladega County community organizations; STEM education programs","https://www.honda.com/community","Honda Foundation education grants; Employee volunteer programs; Environmental habitat conservation on plant grounds; United Way corporate campaigns; STEM partnerships with Talladega County schools; Community event sponsorships; Workforce development; In-kind donations"
"Scottsboro Electric Power Board",Electric Utility,"Scottsboro (Jackson County)",https://www.scottsboroelectric.com,https://www.facebook.com/ScottsboroElectricPowerBoard,"United Way of Jackson County; Scottsboro City Schools; local community organizations; Jackson County nonprofits","https://www.scottsboroelectric.com","Community event sponsorships; Support for local schools and educational programs; Charitable donations to Jackson County nonprofits; Employee volunteer hours; Sponsorships of community festivals; Utility assistance programs for qualifying families"
"Marriott Shoals Hotel & Spa",Hospitality,"Muscle Shoals (10 Hightower Pl, Florence AL 35630)",https://www.marriott.com/en-us/hotels/mslmc-marriott-shoals-hotel-and-spa,https://www.facebook.com/MarriottShoals,"Alabama Music Hall of Fame; United Way of the Shoals; local schools; Muscle Shoals community organizations; Shoals tourism and cultural nonprofits","https://www.marriott.com/en-us/hotels/mslmc-marriott-shoals-hotel-and-spa","Community event sponsorships and venue hosting for nonprofit galas and fundraisers; Support for music heritage and cultural organizations; United Way campaigns; Tourism development benefiting local nonprofits; Employee volunteer programs; In-kind services for charitable events"
"Russell Medical Center",Healthcare,"Alexander City (3316 Hwy 280, Alexander City AL 35010)",https://www.russellmedical.org,https://www.facebook.com/RussellMedical,"Russell Medical Foundation; United Way of Tallapoosa County; Alexander City Schools; local health and wellness nonprofits; Lake Martin area community organizations","https://www.russellmedical.org","Russell Medical Foundation fundraising for equipment and patient care; Free community health screenings; Health education programs in schools; Employee volunteer hours; United Way campaigns; Sponsorship of community wellness events; Support for Tallapoosa County nonprofits"
"Center Point Fire District / local businesses",Public Safety/Community Services,"Center Point (Jefferson County)",https://www.centerpointal.org,https://www.facebook.com/CenterPointAL,"Center Point area schools; local youth programs; community development organizations; Jefferson County nonprofits; neighborhood improvement associations","https://www.centerpointal.org","Community event sponsorships; Youth program support; Charitable donations to local organizations; Employee and volunteer hours; Support for neighborhood improvement projects; Community safety and wellness programs"
"Protective Life Corporation (Mountain Brook offices)",Insurance/Financial Services,"Mountain Brook (offices in nearby Birmingham 35203)",https://www.protective.com,https://www.linkedin.com/company/protective,"Mountain Brook Schools Foundation; United Way of Central Alabama; Birmingham Museum of Art; Alabama Symphony Orchestra; education and arts nonprofits","https://www.protective.com/about/corporate-responsibility","Corporate foundation grants to education and arts organizations; Employee matching gift programs; United Way corporate campaigns; Sponsorship of community and cultural events; Executive board service on local nonprofit boards; Support for Mountain Brook education initiatives"
"Helena Chemical Company",Chemical Distribution/Agriculture,"Helena (Shelby County)",https://www.helenachemical.com,https://www.linkedin.com/company/helena-chemical-company,"United Way of Shelby County; Helena area schools; local agricultural education programs; FFA programs; Shelby County community organizations","https://www.helenachemical.com","Employee volunteer programs; Community event sponsorships; Agricultural education support including FFA; United Way campaigns; Scholarships for local students; Support for Helena area schools and youth programs"
"Wiregrass Federal Credit Union (formerly Fort Rucker FCU)",Financial Services,"Ozark (225 E College St, Ozark AL 36360)",https://www.wiregrassfcu.com,https://www.facebook.com/WiregrassFCU,"Dale County schools; United Way of Southeast Alabama; local veterans organizations; Ozark community organizations; military family support programs","https://www.wiregrassfcu.com","Financial literacy programs; Scholarship programs for local students; Community event sponsorships; Support for military families and veterans; Employee volunteer hours; Charitable donations to Dale County nonprofits; Free community financial education workshops"
"Baldwin EMC (Electric Cooperative)",Electric Utility,"Spanish Fort/Baldwin County (19600 Hwy 59, Summerdale AL 36580)",https://www.baldwinelectric.com,https://www.facebook.com/BaldwinEMC,"Operation Round Up recipients; United Way of Baldwin County; Baldwin County schools; volunteer fire departments; Spanish Fort and Eastern Shore community organizations","https://www.baldwinelectric.com","Operation Round Up charitable program; Scholarships for Baldwin County students; Donations to volunteer fire departments; Community event sponsorships; Support for local schools and educational programs; Employee volunteer hours; Disaster relief assistance"
"Drummond Company",Mining/Natural Resources,"Jasper (1300 2nd Ave, Jasper AL 35501)",https://www.drummondco.com,https://www.linkedin.com/company/drummond-company,"Walker Area Community Foundation; United Way of Walker County; Jasper City Schools; Bevill State Community College; Walker County community organizations","https://www.drummondco.com","Drummond Foundation grants to education and community organizations; Major employer supporting Walker County economy; Employee volunteer programs; United Way campaigns; Education scholarships; Community event sponsorships; Environmental stewardship programs"
"Mueller Water Products",Manufacturing/Water Infrastructure,"Gardendale (various AL locations)",https://www.muellerwaterproducts.com,https://www.linkedin.com/company/mueller-water-products,"United Way of Central Alabama; local schools; Gardendale area nonprofits; education and STEM programs; community organizations","https://www.muellerwaterproducts.com","Employee volunteer programs; United Way corporate campaigns; Community event sponsorships; STEM education support; Workforce development programs; Charitable donations to local nonprofits; Environmental stewardship initiatives"
"Saraland City Government / local businesses",Municipal Services,"Saraland (Mobile County)",https://www.cityofsaraland.com,https://www.facebook.com/CityOfSaraland,"United Way of Southwest Alabama; Saraland City Schools; local youth programs; Saraland community organizations; Mobile County nonprofits","https://www.cityofsaraland.com","Community event sponsorships including Saraland Christmas Parade; Youth recreation programs; Support for local schools; Charitable donations to area organizations; Employee volunteer hours; Utility assistance for qualifying families"
"Decatur Morgan Hospital / Hartselle Medical Center",Healthcare,"Hartselle (201 Pine St NW, Hartselle AL 35640)",https://www.decaturmorgan.org,https://www.facebook.com/DecaturMorganHospital,"United Way of Morgan County; Hartselle City Schools; Hartselle Clean City Association; local community health programs; Morgan County nonprofits","https://www.decaturmorgan.org","Free community health screenings; Health education in schools and community centers; Employee volunteer hours; United Way campaigns; Sponsorship of community wellness events; Support for Hartselle Clean City Association beautification projects"
"Constellium Automotive Structures",Automotive/Aluminum Manufacturing,"Fort Payne (1002 Industrial Blvd SE, Fort Payne AL 35967)",https://www.constellium.com,https://www.linkedin.com/company/constellium,"United Way of DeKalb County; Fort Payne City Schools; DeKalb County schools; local workforce development programs; community organizations","https://www.constellium.com/sustainability","Employee volunteer programs; United Way campaigns; STEM education support; Workforce development and training; Community event sponsorships; Support for Fort Payne area schools and nonprofits; Environmental sustainability initiatives"
"Riviera Utilities",Electric/Gas/Water Utility,"Foley (413 E Laurel Ave, Foley AL 36535)",https://www.rivierautilities.com,https://www.facebook.com/RivieraUtilities,"Ecumenical Ministries of Foley; United Way of Baldwin County; Foley City Schools; South Baldwin Literacy Council; Foley community organizations","https://www.rivierautilities.com","Community event sponsorships; Utility assistance programs for families in need; Support for local schools and educational programs; Donations to Foley area nonprofits; Employee volunteer hours; Partnership with Ecumenical Ministries for community assistance"
"Brett/Robinson Real Estate & Development",Real Estate/Hospitality,"Gulf Shores (3201 Gulf Shores Pkwy, Gulf Shores AL 36542)",https://www.brett-robinson.com,https://www.facebook.com/BrettRobinson,"Christian Service Center of Gulf Shores; Coastal Alabama Business Chamber; United Way of Baldwin County; Share the Beach sea turtle conservation; Gulf Shores community organizations","https://www.brett-robinson.com","Community event sponsorships; Support for Christian Service Center serving low-income families with food and emergency financial aid; Environmental conservation (Share the Beach); Gulf Shores community development; Charitable donations to Baldwin County nonprofits"
"Caribe Resort / Phoenix Developments",Hospitality/Tourism,"Orange Beach (28103 Perdido Beach Blvd, Orange Beach AL 36561)",https://www.cariberesort.com,https://www.facebook.com/CaribeResort,"Coastal Alabama Business Chamber nonprofits; Jennifer Claire Moore Foundation; Pink Butterfly Foundation; Tri-City Community Foundation; Orange Beach community organizations","https://www.cariberesort.com","Hospitality industry sponsorships for community events; Support for youth programs (Jennifer Claire Moore Foundation); Charitable event hosting; Donations to Baldwin County nonprofits; Community development support; Employee volunteer programs"
"Farmers & Merchants Bank",Banking/Financial Services,"Eufaula (104 N Eufaula Ave, Eufaula AL 36027)",https://www.fmb-al.com,https://www.facebook.com/FarmersandMerchantsBank,"Eufaula Heritage Association; United Way of the Chattahoochee Valley; Eufaula City Schools; Barbour County community organizations; Eufaula Pilgrimage events","https://www.fmb-al.com","Community event sponsorships including Eufaula Pilgrimage; Financial literacy programs; Scholarship programs for local students; United Way campaigns; Support for historic preservation; Charitable donations to Barbour County nonprofits; Employee volunteer hours"
"Jacksonville State University",Higher Education,"Jacksonville (700 Pelham Rd N, Jacksonville AL 36265)",https://www.jsu.edu,https://www.linkedin.com/company/jacksonville-state-university,"United Way of East Central Alabama; Calhoun County schools; Community Foundation of Northeast Alabama; local cultural and educational organizations; Jacksonville community programs","https://www.jsu.edu/community","Community service-learning programs; Faculty and student volunteer hours; Free or low-cost cultural events; Health clinics and services; Economic development support; Facility usage for community organizations; STEM outreach programs; Education scholarships"
"Wind Creek Hospitality (Poarch Band of Creek Indians)",Hospitality/Gaming,"Wetumpka (100 River Oaks Dr, Wetumpka AL 36092)",https://www.windcreekhospitality.com,https://www.linkedin.com/company/wind-creek-hospitality,"Make a Change charitable donation recipients; Breast Cancer Research Foundation of Alabama; Elmore County community organizations; local food banks; veterans programs; education initiatives","https://www.bcrfa.org/community-partners-across-alabama-fund-breast-cancer-research-october/","Make a Change monthly fundraiser program donating guest spare change via TITO collection drums at all three Wind Creek properties; Employee volunteer programs; Community event sponsorships; Support for Elmore County schools and nonprofits; Charitable gaming proceeds; Cultural heritage preservation programs"
"Maxwell Federal Credit Union",Financial Services,"Millbrook/Elmore County",https://www.maxwellfcu.com,https://www.facebook.com/MaxwellFCU,"United Way of the River Region; Millbrook City Schools; Elmore County community organizations; military family support programs; local youth programs","https://www.maxwellfcu.com","Financial literacy education; Scholarship programs; Community event sponsorships; Support for military families and veterans; Employee volunteer hours; Charitable donations to Elmore County nonprofits; Free community financial workshops"
"Tuskegee University",Higher Education,"Tuskegee (1200 W Montgomery Rd, Tuskegee AL 36088)",https://www.tuskegee.edu,https://www.linkedin.com/company/tuskegee-university,"Tuskegee Macon County Community Foundation; Macon County schools; local community organizations; health outreach programs; economic development initiatives","https://tmccf.org/; https://www.tuskegee.edu","Community health clinics and veterinary services; Agricultural outreach and extension programs (legacy of George Washington Carver); Student service-learning volunteer hours; Economic development support for Macon County; Research partnerships benefiting local communities; Cultural programming and events; Facility usage for community organizations; STEM education outreach"
